Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
The Gambia,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.015202,0.037746,0,0.293921,0.574286,2.424911,4.946883,11.380642,56.86037403,67.6018202,11.626441,28.834693,11.362513,1.481691,2.151371,2.19823,4.464491,6.397059,2.885492,2.045162,1.148508,0.871921,1.429024,2.147324,8.501854,12.76952,21.84055,24.08307,21.40546,22.875175,18.6148,26.1,20.90349,24.9200072,21.1970676,25.1702971,21.1117511,14.2966188,7.6364402,1.881009,16.9886074,35.5568313,23.1685057,38.9135686,36.134
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1.1,0.2,58.35468,272.5887,449.2671,150.8251,59.17679,113.4262,180.6694,299,350.1591,320.6131,260,218.8315,217.11764,39.81837,35.365,35.365,35.365,35.365,35.6750971,51.2120252,35.365,35.365,35.365,35.365,7.295,7.295,7.295,7.295
Ghana,0,0,0,0,0,116,178.65,57,246,50,43.44214,34.71794,76.11708,112.68012,221.26566,54.96482,34.11602,38.35984,28.606257,924.62383,9.287515,18.316591,2553.047305,17.894639,29.699199,44.13919,54.115388,76.11805,77.44824,113.48198,132.97018,167.23686,121.9357,158.64018,150.98286,117.10605,134.78825,27.13113,79.17143,107.99444,111.11073,411.3553,293.99185,219.76514,1640.86538,61.43579,85.258045,172.45424,22.885274,77.36774,81.9378229,139.7611347,214.6582771,468.6095801,347.8325365,568.032916,587.9478654,843.3314446,1134.607832,1132.569637,1141.389967,1125
Greece,368.6016,377.7548,386.908,301.0812,307.6444,314.2076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312420,212819,0,2222,0,0,110938,0,0,0
Grenada,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.415,0.415,0.726751,2.608903,6.948624,8.862008,14.429374,18.651787,25.49299,37.88492,45.26637,43.29384,43.44495,45.24962,46.90871,49.37198,17.289165,16.849014,20.319461,19.248351,19.466836,18.923043,17.939772,303.12097,329.587991,32.326361,37.64606,50.13954,59.48124,41.6504024,45.2761322,80.6103986,348.3133269,377.9477019,419.0259849,163.1036594,76.9415648,32.331,34.4791215,37.9772365,48.784
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,18.07,76.56,233.19,329.78,324.18,915.08,506.47,533.54,519.77,907.98,447.82,477.85,488.26,474.94,461.32,492.23,541.09,580.26,522.08,535,548.76,544.9,538,0.03,0,0,0,0,0.0040193,0.389,0,0,0,0,0,0,0,0
Guinea,0,0,0,0,0,29,0,7,9,9,21.63999,41.88361,62.846,95.89606,129.62462,157.77279,172.31241,200.73042,242.93898,249.02305,134.27115,160.13993,191.14829,207.31389,201.51857,261.209,225.89437,211.6683,304.2214,654.90685,319.28022,344.6338,486.89056,413.12979,565.3299,628.11721,534.94744,605.77425,697.7782,575.1535,491.9947,428.806,425.2547,429.5611,406.74285,404.73116,417.43968,430.81676,429.24261,214.15398,248.2491204,157.8164933,2064.169918,86.7557312,85.3553612,84.2352701,83.769119,85.0408276,84.7399954,84.7093358,118.4971571,128.9306143
Guinea-Bissau,,,,,,,,,,,,,,,0,0,0.107,0.217,0.621763,2.320413,5.404953,15.544164,28.114089,32.6941,26.786399,37.532021,48.34625,50.999177,49.994865,117.39026,163.17352,180.67218,224.90274,272.40372,341.21031,354.88451,381.9019,226.6426,254.0876,283.0411,307.1729,323,354.2438,398.2614,557.2065,384.4077,384.14276,393.7007,424.4279,472.819,491.7601967,839.176438,74.061,74.094,74.083,74.138,74.161231,77.0637861,67.6598158,68.083313,69.9199315,76.8
Guyana,,,,,,,0,0,0,0,0,0,0.538,0.768,2.157,3.46,17.02308,25.08174,39.25361,106.09034,77.83819,82.35061,131.19221,172.13773,293.0332437,373.5125104,458.2725903,608.4057255,659.3522532,786.6105414,616.9980593,348.0575,238.0197,194.01178,205.93676,248.85511,919.17708,195.44817,176.51668,449,146.80724,154.62161,163.2113,190.05681,196.64245,249.35398,172.0739916,240.698761,183.20907,174.77818,185.2475008,189.0590515,192.7961323,474.4171031,313.3312187,246.2984403,170.754481,164.7881728,166.6832126,97.8542239,239.0133236,87.75715
Haiti,1,1,1,27,27,29,0.2,3.55,4.2,5.5,4.32,4.32,4.326,4.052,0.054,2.99,0,0,0,0,0,0.149991,2.689112,9.765266,17.59743,29.93381,38.50497,41.68147,104.5191179,100.6966119,66.62374,230.7949,84.97211,179.5946367,207.0539422,199.645,5.171746,3.851,2.88,3.203,3.46032,12.017,38.139,88.0212,89,36.4845,69,51.27798,19.4729,161,773.852047,557.4025468,6.7403149,9.4164768,6.1150085,19.7143732,3.8193241,10.1170906,3.8278244,94.8865336,2.4920028,128
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,1.01,2.6,2.683,16.052809,98.230143,112.22946,382.42835,285.30755,360.68193,435.71351,523.9973353,600.7022694,660.5180641,744.4214,306.805,390.6468,342.9063,292.9637,314.5076,353.84587,248.725,529.1521,260.837,190.3066,187.14081,229.01433,481.1294,780.71145,285.355816,172.058103,69.562327,48.258266,48.6027556,115.2472193,26.8689059,26.2160986,23.6100135,19.6651527,13.953645,18.0704508,13.798795,11.995,13.133,14.387
Hungary,144.8484,147.7476,150.6468,153.546,156.4452,159.3444,162.2436,148.7944,51.59,52.476,53.362,54.248,55.134,56.02,56.906,57.792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,30,403,0,0,0,153,187,194,228,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9301.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,0,0,0,0,0,0,810,260,333,957,3561.285,202.189,207.584,168.2,171,174,177,180,183,186,189,192,195,198,201,267.143,274.331,295.701,286.893,286.533,220.296,1.24,1.155,1.135,4200,0,0,0.032,4176,4351.492,6295,1890.704,6976,2294.145,0,2704,92.259,0,0,0,0,0,231.364,0,5.068,0,0.2756758,0,0,0,0,0
Iran,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914,195.6384,528.99178,926.854,1282.07658,1603.09215,1831.34027,1947.34058,1960.65903,2017.6886,1975.02145,1945.162558,41.04742,39.78049,52.34457,55.50451,34.83103,38.97864,34.65745,33.26753,0,0,0,0,0,0,0,0,0,0,0,39.4200306,26.1148862,79,0,0,99.7207291,39.742659,46.8636129,255.9613495,430.2725947,490
Iraq,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780.696,6393.449776,8256.614404,7548.62187,7968.813329,10204.85718,8897.287824,9583.759137,10248.55054,10987.96562,11757.64139,12565.45457,13561.63525,14260.3156,101235.2122,106631.8955,110052.3969,111341.2807,99176.56107,66007,56182,50500,50500,40000,40000,40000,40000,40000,40000,40000,40000,40000,48272,43200
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88290,0,0,0,0,0,0,0,0
Jamaica,,,0,0,0,0,0,0,0,0,0.014943,0,0,0.983076,0.554,0.357,0.357,0,63,149.054236,28.59748,152.45151,130.119645,267.97407,376.130565,478.390784,961.1897419,1432.432983,503,621.8233,653,917,643.7208,742,419.94915,406.23875,298.34252,230.91913,236.68436,285.15491,284.55301,232.51565,261.38518,321.3561,355.2906,369.02833,437.84602,432.6991,404.7144,386.96491,7954.897674,614.7126079,213.8314739,8994.823204,136.3902981,45.4798064,89.946812,367.910716,79.6955329,79.5902724,21.3168074,20
Jordan,0,0,0,0,0,0,0,0,0,0,0.28,3.49904,6.0634,7.65327,10.65472,13.22784,17.02541,19.6672,22.4712,25.95749,26.99271,28.24966,30.24722,30.15388,8.929624,9.364,10.3,22.072466,66.13884,1056.4578,985.312,1143.3801,2025.918,1740.2571,1321.3039,931.7904,726.168,996.8625,532.52467,895.79735,562.78164,696.1315,1219.60648,507.57668,320.20781,237.40665,244.59849,2522.23181,2137.19588,17.42303,17.9294452,20.6543543,17.3748236,17.6782337,17.5796609,17.6424891,17.437516,17.5002655,115.3268341,17.6391737,17.4629392,18
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21.47,105.3,161.72,0,0,103.8,203.4,0,22.342,0,0,0,0,0,0,0,0,0,0,0,0,1010.427,0.659,573.931,687.482,568.841,428.998,756.526,500
Kenya,,,,0,0,0,0,0,0,0,0.3,0,0.011741,0.004646,0,0.047668,0.634124,1.142,1.713,2.284,5.664791,8.048881,9.57393,10.412123,11.030312,14.948662,23.517726,40.851234,65.89867,549.16361,258.1379,361.5482,481.5446,652.4678,1008.9547,37.47462,24.711428,109.59962,164.08633,246.77752,434.957,277.3666,183.24529,56.63076,388.95375,268.9352,472.48853,365.20109,337.43834,348.82569,353.2672727,363.7058345,334.1163603,301.7018204,252.7944057,237.6092472,301.0042172,299.4475149,359.3841311,259.7626998,858.4342581,1439.474
Korea (North),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,417.1078799,552.1582046,747.6652152,983.2953542,926.031361,973.9214632,1251.112039,1312.842609,1644.493073,1467.565666,1756.039017,2077.363222,1972.92761,1837.321377,1935.421059,1836.308118,1822.473834,1848.405841,2313.644512,2815.190719,3135.771645,2821.664928,3208.609102,3662.270194,13380.96852,13980.43716,14022.43888,14302.24815,24704.01269,15225.0208,6843.50833,6482.937,6197.911851,6548.074852,6194.663073,5988.617533,6366.662995,6111.364697
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.900304,24.42291,21.7476,91.70198,1.114485,0,32.02811,60.91209,66.863476,104.376753,45.036381,48.753549,555.899061,11.117075,22.43666,16.71572,17.27339,18.2567847,9.7947747,61.4277035,196.7591381,18.2230816,0.0554292,44.9942444,30.0569654,240,0,0,0
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0
Laos,0,0,0,0,0,0,0,0,0,0,0,0,0.225,0.273,0.128,0.608789,156.117619,1.800955,3.186875,4.261803,5.508845,5.300848,5.24652,4.867941,4.777536,6.752095,8.766914,12.713977,0.668,0.254,1.021,1291.919,0.4,0,0,0,1.584,1.659,0.696,0.984,1.22,0.017,0,905,0,0,45,0,0,0,0,0,0.0026388,0.0027582,0.0024282,0.0021774,0.0021082,0.0023986,0.00229,0.0022468,0.0024542,0.0024542
Lebanon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,8.265,17.933,27.551,37.084,47.129,64.254,96.244,130.399,171.307,183.431,77.798,71.976,59.595,51.299,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37502.042,39956.634
Lesotho,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000578,0,0,0,0,0,0.195758,0.043939,0.037663,0.04057,0.033,8.121312,3.69621,5.575755,12.051992,2.884411,0,0,0,0.063361,0,0,4.6,0,0,0,0,0,5.850245,1.439697,0.001568,0,0,0,0.0702472,0.216046,0.1321607,0.3750295,0.1768764,12.1338882,0.30163,4.3598053,0.3458657
Liberia,0,0,0,122,0,0,0,0,112,5,0,0.078,0.077,0.134,0.241,0.047,0.054,0.126,1.275,1.798,37.3,43.9,60.647,71.3,113.25,469.5543377,838.9215011,1447.106003,1700.48316,1199.745481,1811.88949,2052.633958,2111.683637,2222.083767,2467.863295,2653.555293,2721.975855,2742.939776,2972.005951,3030.93858,3371.35974,3736.841627,3972.656695,4425.716349,4726.40813,4792.851671,5181.650405,4948.55599,4064.619692,1765.684982,2883,110.3859777,121.0419446,92.0248,78.6148345,78.596,88.596,78.596,75.876,65.2866958,85,35
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,,4500,,,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200,3200
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.688574,610.0177387,515.6065311,614.2147985,387.141,665.993,5.192,0.048,664,11.395,21.94,9.934,25.209,1.178,0,0,0.168,0.548,2.7647599,1.4526098,0.0605076,0.4249151,0.3739428,0.3353196,0.1760347,0.5372864,0.59311,0.4516068,0,0
Madagascar,0,0,0,0,0,0,0,0,0,0,0,0,0.068,0.068,0.511,0.5758758,0.511,0.6857518,0.911,2.0757678,47.4086891,277,245.1726288,238.8730677,374,323,395,356.443165,346.376544,789.8828527,656,635.0243482,859.3152333,1299.562329,1402.213921,1685.651107,1764.977242,1646.490621,802.7860812,805.108794,869.6241773,951.206983,1248.669365,855.2272861,1717.268194,407.9564053,434.0270778,440.1752535,394.9206975,384.2571938,383.1319363,383.1534923,461.5173586,332.1605159,216.8829973,180.0787712,173.7730202,96.5096908,93.0720139,93.3356261,95.6964202,96
Malawi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9559896,0.377784,71.0483708,87,0,1.6966639,1.1002297,28.0763408,55,47.0056014,76.3518285,7.6271456,5.2177308,8.2821797,15.9104695,8.6490815,20.1955732,20.0991511,51.2143714,71.5450647,109.1909258,159.5735801,115.2386967,130.9982647,93.0523205,102.0928632,355,4.1983097,16.2739896,1.071,0.823,0.974,1.493,6.3563817,11.5562441,2.6327148,3.3307893,11.9852341,4.9965232,5.3478019,5.6416109,6.129
Maldives,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110376,0.0155544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906125,0.5462975,0.3077795,0.2019713,0.0023801,10.2069212,9.7726959,5.1200051,6.4518175,6.6203973,15.721815,9.5627939,3.2929708,1.7622674,0.5128385,1.8141746,14.2668201,651.7553024,282.5
Mali,0,0,0,0,26,0,0,0,0,0,10.9416846,16.108864,21.451767,28.1431348,34.2730196,38.9969126,60.1225012,85.9240192,116.9835262,141.3663022,76.1517899,7.3098461,10.7099286,16.5315821,90.9023784,98.7245919,58.0954591,81.5248557,57.8258791,35.4307555,85.0320151,204.1102972,335.2301762,259.1844606,707.1147889,369.9667093,477.210058,674.8332377,598.819709,589.6453359,662.789587,639.0938651,664.2241465,155,130.1212213,117.4911291,1994.567456,138.1248214,50.3875484,493.7318897,0.8542009,80.4768114,100.4823443,105.9812566,114.7695687,140.6248882,140.5296768,147.0201482,141.7525057,120.1570999,125.4105322,135.3178189
Mauritania,0,0,0,0,0,0,0,0,0,1,0,0.012634,0.293475,0.6871466,0.2414219,0.7352834,0.5372542,3.8631721,32.3802992,23.5771358,54.2688063,32.1359432,39.6705038,59.0277725,103.9522609,86.4774356,96.2754315,110.3117566,144.4004357,290.9761927,273.4709629,307.2352047,401.7408098,696.2918686,328.6329168,312.2620475,382.9488015,291.4038563,401.9362072,489.1045454,542.1421113,361.2037638,557.4433969,528.1948762,359.7664311,301.5271956,1197.544734,1253.638766,1267.685216,1191.894634,1169.993646,1057.28719,1054.854423,1054.536337,1048.40093,1045.01769,1044.216073,1045.508178,1045.00224,1045.154973,1166.243123,1300.8
Mauritius,,,,,,,,,0,0,0,0.0306276,0.0727911,0,0,0,0,0.3931389,0.313313,0.6743647,2.2969115,3.0371964,0,0,0.1561275,0,0,0,0.1109353,3.0392575,7.5959825,11.0684395,10.2738512,12.7492737,2.7614447,0.8479723,0.0579468,0.6305126,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155882,3.6999385,4.2598451,6.7403816,7.5742309,6.4386259,8.3805269,0.10305,11.7219612,5.8007522,11
Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.9,0,11.3,19357.7,24667.8,19223.9,28600,45500,52300,51902.9,50635.5,54300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,91,0,123,0,15,6,8,0
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5.8684194,24.9093491,46.6022874,119.3734793,15.6314177,104.6279299,238.9561716,132.7415337,40.5853734,94.3108359,124.6865131,157.153514,134.0095813,322.9598116,144.6019854,150.2641479,210.153,208.566,230.453,293.823,311.168,332.167,443.4783327,392.485,314.358,334.276,290.92,399.267,300
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6769838,18.0325298,16.5593214,4.1072403,4.5239274,63.6808235,68.6336012,87.5549836,77.3345105,77.1890682,18,18.4950686,27.294859,20.8672869,41.9719699,25.6147206,26.1305661,9.7012344,10.6353768,10.6206823,15.7883612,18.0139712,8.8287302,8.9410768,8.9296095,2200.147583,10.2283671,10.7783137,1817.474095,15
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.172,205.349,0,0.009,0,15.4970146,1.173689,0,0,0,0,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0.022,0,0.134,0.148,0.348,0.236,0.989,0.232,0.529,0.263,5.384,51.466,27.38,1277.707,1638.368,1265.676,1489.007,3879.148,940.004,1668.481,6349.639,3954.76,1546.149,247.239,231.414,230.319,277.512,315.901,333.357,552.369,774.361,657.223,654.655,19.372,22.585,3.363,3.62,1.816,0.807,0,0,0.0046058,0,0,0,0,0,0.0085448,0.0083447,0.0649928,20.7967724,0
Mozambique,,,,,,,,,,,,,,,,0,0,0,0,0,750,0,0,0,143.2719734,285.0812589,588.3391069,1098.14307,794.4530442,1009.352749,1450.281632,1337.899293,1173.464376,1044.644249,1204.469704,1828.404621,1549.872202,1666.398874,1629.481185,1864.69549,1148.736006,2803.774439,805.7935545,907.6619038,1003.388242,1017.903039,971.8140304,1090.343979,882.3820176,905.4561342,1404.903042,852.174984,391.4449726,609.8644163,319.0378389,431.9303244,1774.310218,4765.720965,3061.06164,3236.448944,3463.621356,3550.047962
Myanmar,0,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0.03,0.062,0.096,0.13,0.164,0.198,0.232,0.229,0.227,384.9366535,57.9101473,1448.792981,257.8687991,332.6524501,579.9103624,884.7384002,1129.172098,1398.912955,1811.414847,1710.586605,1656.806405,1740.887554,1989.335641,2314.773017,2293.875368,2442.784608,3069.03621,3714.089743,3958.924111,3927.309441,4261.825886,5029.300749,5394.089994,5799.779636,6143.216888,6449.041966,10901.43599,2563.709983,668.776471,647.6924172,664.8162337,660.9293339,799.7039761,633.4250975,919.9764503,1000
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,6.317365269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.02008032,75.82618616,69.75661886,66.50732169,65.00058783,78.93404095,87.57212163,83.91675112,85.37902639,109.1414321,293.3001707,109.7912378,108.2167826,110.9957566,127.1452627,145.2642804,160.305337,182.3789442,187.9040442,158.4191538,150.5996323,135.3789495,155.0810395,154.4510815,161.1099782,168.0022106,181,167.703779
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.835,4.58,5.636,7.969,10.427,19.858,14.103,9.578,7.601,10.004,11.718,9.989,10.123,2.87,0.12,0.078,0,0,0,0,0,0,0,0,0.3680279,0,4.6499287,0,0,0,0,0,0,0,12.5497646,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,1.1567848,4.8751903,11.848888,93.0069812,429.0507081,626.5065359,204.3922593,111.7263334,322.6497993,500.1511084,714.6325203,1070.858944,1758.352996,2744.170659,3297.121364,4200.445946,5117.887792,4741.04099,5243.020268,6396.900351,8193.280733,3605.545572,2460.162181,2907.141137,2637.818868,2834.627448,2862.199259,2695.53934,3009.992522,2781.674114,2288.313319,2267.127914,2732.958384,2647.889163,957.0979381,983.2823525,975.605196,1002.925495,1014.598298,1019.431886,1149.609823,1040.004129,1088.674795,1069.04431,1092.096337,1107.442341,1122
Niger,0,0,0,0,0,0,0,0,0,0,0,0.1204485,0.2584658,0.3842548,0.5265579,0.7675841,0.8517139,0.2388073,0.7943964,1.3271231,1.5662176,2.567717,1.1728833,35.1163327,62.3043473,40.4679207,78.0274208,115.8412671,187.1225504,446.414461,317.4102635,243.8159365,133.5775495,200.0158678,290.1027558,131.9440735,171,117.0834345,119.5526193,151.1425747,161.8877039,259,193.993753,92.4877642,337,115.8731556,95.5981722,88.8754803,120.1269871,80.3991213,91.4038175,96.5438268,99.5173086,103.8111189,111.8857025,56.2403724,60.8331561,101.5716579,298.4404557,187.1810696,118.6135068,125
